0,1,2,3,4,5,6,7,8,9
1,2,1,0,2,0,1,1,3,0
2,2,0,0,0,0,1,1,2,2
3,0,1,0,0,0,1,0,2,0
4,2,1,1,0,0,2,0,3,0
5,2,2,0,0,0,1,1,2,0
6,0,1,1,2,0,1,2,3,2
7,2,1,0,0,0,1,0,0,2
8,0,2,0,2,1,2,1,2,2
9,2,0,1,2,0,1,1,2,2
10,2,1,0,2,1,1,0,2,2
11,2,2,1,2,0,1,1,3,0
12,2,1,1,0,0,1,0,2,0
13,0,0,0,0,1,1,2,3,0
14,2,0,1,2,1,1,0,2,0
15,2,1,1,0,1,2,1,3,2
16,0,0,0,0,1,1,2,2,0
17,1,0,1,0,1,1,0,3,0
18,2,1,1,0,1,1,1,2,0
19,2,0,1,2,1,1,2,3,0
20,2,2,1,2,0,1,1,2,0
21,1,0,1,2,1,1,1,3,0
22,1,2,0,0,1,1,2,2,2
23,2,2,1,2,1,1,2,3,0
24,2,2,1,2,1,1,1,2,0
25,0,0,1,2,0,1,0,2,0
26,1,2,1,2,1,1,1,2,0
27,0,2,1,1,0,1,0,2,0
28,1,2,0,0,0,1,0,2,0
29,2,2,0,2,0,1,2,3,0
30,2,2,1,2,1,1,2,2,2
31,2,2,1,0,1,1,1,2,0
32,1,1,1,2,1,1,2,2,0
33,2,2,0,0,1,1,0,2,0
34,2,1,1,2,0,1,1,2,0
35,1,2,0,0,0,1,0,2,0
36,2,2,1,2,0,1,1,2,0
37,1,2,0,2,0,1,1,2,2
38,1,1,1,2,1,1,2,2,2
39,1,1,1,2,0,1,1,1,2
40,2,2,1,0,1,1,0,2,0
41,1,1,1,2,1,1,1,2,0
42,1,2,1,2,0,1,1,3,2
43,0,0,1,0,1,1,1,3,2
44,2,2,1,2,0,1,1,2,2
45,1,1,0,2,0,1,1,2,0
46,1,2,1,2,1,1,1,2,2
47,1,2,1,0,1,1,1,4,1
48,2,2,0,2,1,1,1,2,0
49,0,0,0,0,0,1,2,4,0
50,2,0,1,1,1,1,1,2,0
51,2,0,1,2,1,0,0,2,0
52,1,0,0,2,1,1,1,2,0
53,2,1,0,0,1,1,2,2,0
54,2,2,1,2,1,1,0,2,2
55,0,0,0,2,1,1,0,2,0
56,2,2,1,2,1,1,1,3,0
57,0,2,1,0,0,1,2,3,0
58,2,1,1,0,1,1,0,2,0
59,1,1,1,0,0,1,1,2,0
60,2,0,1,2,0,1,0,2,0
61,2,0,1,2,1,1,2,2,0
62,2,1,0,0,0,1,1,2,0
63,2,2,1,2,0,1,2,2,0
64,2,1,0,2,0,1,2,2,2
65,0,2,0,2,1,2,2,2,0
66,2,2,1,0,0,1,1,2,2
67,2,1,0,2,1,1,1,2,0
68,2,2,0,2,1,1,1,2,0
69,2,2,0,0,0,1,1,2,0
70,2,2,0,1,0,1,1,2,0
71,2,1,0,2,1,2,2,4,0
72,1,1,0,2,0,1,1,2,0
73,2,2,0,2,0,1,0,2,2
74,2,2,0,0,0,1,1,2,0
75,2,1,0,0,0,1,0,2,0
76,1,2,1,2,0,1,2,2,0
77,2,2,0,2,0,1,0,2,0
78,2,2,0,2,0,1,2,2,0
79,2,2,0,2,1,2,1,2,2
80,2,2,1,0,0,1,1,2,0
81,2,2,0,2,0,1,1,3,0
82,2,2,0,2,0,1,1,2,2
83,2,1,1,2,0,1,2,2,1
84,0,2,0,2,1,1,2,0,0
85,2,2,0,2,0,1,2,2,0
86,2,2,0,2,1,1,1,2,0
87,2,2,0,2,1,1,1,3,2
88,2,2,1,2,1,1,1,3,0
89,2,2,0,2,1,1,1,2,0
90,2,2,1,2,1,1,1,3,2
